timestamp,EDA,TEMP,HR,BVP,ACC_mag
1361721944.0,1.4203985833333335,32.63,,11.168333333333335,63.57475504302232
1361721944.25,1.425840357142857,32.63,,10.560714285714285,63.57391293705502
1361721944.5,1.430888875,32.63,,10.122265625,63.578439256629224
1361721944.75,1.4363870555555556,32.63111111111111,,10.103402777777779,63.58555839678373
1361721945.0,1.4430279000000001,32.633,,9.79384375,63.58712978752045
1361721945.25,1.4493349545454546,32.63454545454545,,9.179318181818182,63.60777085059879
1361721945.5,1.4551247500000002,32.63583333333333,,8.7034375,63.62374714044467
1361721945.75,1.4733414999999999,32.6375,,8.797682291666666,63.63700130938391
1361721946.0,1.4807708333333334,32.63916666666667,,8.878645833333334,63.648211629601576
1361721946.25,1.4879824583333334,32.64083333333334,,8.181380208333334,63.66497988306111
1361721946.5,1.494976375,32.642500000000005,,6.841875000000001,63.683463961054294
1361721946.75,1.5016007083333331,32.64458333333333,,5.870390625,63.70390739273188
1361721947.0,1.5074817083333334,32.647083333333335,,5.491640625,63.71895565147827
1361721947.25,1.5122949166666668,32.64958333333333,,5.402473958333334,63.739357084291434
1361721947.5,1.51603625,32.65208333333333,,5.302630208333333,63.75619655958269
1361721947.75,1.5180650416666666,32.654583333333335,,4.857526041666667,63.76699184605801
1361721948.0,1.517371,32.65708333333333,,4.683072916666666,63.78073340802274
1361721948.25,1.515075291666667,32.65958333333333,,4.902369791666667,63.77011272727111
1361721948.5,1.5119253333333331,32.662083333333335,,4.747109375,63.762392083237415
1361721948.75,1.5080279166666666,32.66458333333333,,4.0480729166666665,63.766723674740206
1361721949.0,1.5032762916666667,32.66708333333333,,3.434296875,63.77481270810093
1361721949.25,1.4982043333333335,32.669583333333335,,3.1487239583333335,63.77452695146179
1361721949.5,1.493132375,32.67208333333333,,2.857109375,63.77301659876989
1361721949.75,1.4880604166666664,32.67416666666667,,2.6875520833333333,63.76958772982223
1361721950.0,1.483362208333333,32.67583333333334,,2.2782812499999996,63.769097891401124
1361721950.25,1.4790911249999998,32.6775,,1.8033072916666668,63.76571102131788
1361721950.5,1.4752471249999999,32.67916666666667,,1.5675520833333332,63.762447509390064
1361721950.75,1.4730581666666664,32.68125,,1.203359375,63.76252918424726
1361721951.0,1.4733785,32.68375,,0.6825520833333333,63.76310118477081
1361721951.25,1.4759945416666664,32.68625,,-0.02656250000000002,63.77029299657476
1361721951.5,1.4794647916666666,32.68875,,-0.1826822916666667,63.775809367713514
1361721951.75,1.4830952083333333,32.691250000000004,,-0.16434895833333335,63.775238170001394
1361721952.0,1.4877934166666666,32.69375,,-0.246328125,63.7729533791529
1361721952.25,1.493185708333333,32.69625,,-0.15046875000000004,63.7729942165815
1361721952.5,1.4988449166666669,32.69875,,0.1790364583333333,63.773035054010094
1361721952.75,1.5047176666666668,32.70208333333333,,0.5797395833333333,63.773035054010094
1361721953.0,1.5108573750000003,32.706250000000004,,0.9265885416666667,63.773035054010094
1361721953.25,1.517103875,32.71041666666667,,0.9145052083333334,63.773035054010094
1361721953.5,1.5233503750000004,32.71458333333333,,0.680546875,63.773035054010094
1361721953.75,1.5290095833333333,32.719166666666666,,0.6435677083333333,63.773035054010094
1361721954.0,1.5339213333333335,32.72416666666667,63.04,0.7894010416666667,63.77123710105911
1361721954.25,1.539153458333333,32.729166666666664,63.41166647637333,1.5771614583333333,63.76629273044389
1361721954.5,1.5450796666666669,32.73416666666666,63.78333333333333,2.01234375,63.76224733630416
1361721954.75,1.5510058750000002,32.73916666666667,64.15500019029332,2.1812760416666666,63.75820194216444
1361721955.0,1.5567185,32.744166666666665,64.52666666666666,2.1978645833333332,63.7559545009757
1361721955.25,1.5620573750000002,32.74916666666667,65.42249954133332,1.9408593749999998,63.7559545009757
1361721955.5,1.5671293333333332,32.75416666666667,66.31833333333333,1.5588541666666667,63.7559545009757
1361721955.75,1.57198775,32.75833333333333,67.21416712533333,1.390104166666667,63.7559545009757
1361721956.0,1.5765258333333332,32.76166666666667,68.11,1.3122916666666666,63.7559545009757
1361721956.25,1.580476625,32.765,69.09916616021333,1.4761458333333335,63.7559545009757
1361721956.5,1.5839469166666664,32.76833333333334,70.08833333333334,1.2644791666666666,63.75595450097571
1361721956.75,1.5864562083333336,32.770833333333336,71.07750050645335,1.0250520833333334,63.7559545009757
1361721957.0,1.587524,32.7725,72.06666666666668,0.9571354166666667,63.757752453926685
1361721957.25,1.5866697500000002,32.774166666666666,73.38583265792,0.24359375000000005,63.76269682454191
1361721957.5,1.5845875416666668,32.77583333333333,74.705,-0.4091145833333332,63.766742218681635
1361721957.75,1.582505333333333,32.778333333333336,76.02416734207999,-0.4689583333333333,63.77078761282135
1361721958.0,1.580423125,32.78166666666667,77.34333333333332,-0.5911458333333333,63.773035054010094
1361721958.25,1.5783409166666666,32.785000000000004,78.63499933866666,-0.731328125,63.773035054010094
1361721958.5,1.5762587083333335,32.788333333333334,79.92666666666665,-0.9854427083333333,63.773035054010094
1361721958.75,1.575084125,32.79166666666667,81.21833399466665,-1.5477083333333335,63.773035054010094
1361721959.0,1.5760450833333335,32.795,82.50999999999999,-2.095078125,63.774663852522984
1361721959.25,1.5801559583333333,32.79833333333334,83.32666624853333,-2.1702864583333334,63.76967670957126
1361721959.5,1.5881108333333334,32.80166666666667,84.14333333333332,-1.4255989583333335,63.7624848977673
1361721959.75,1.6000699166666665,32.80416666666667,84.96000041813332,-0.5882812500000002,63.75529308596335
1361721960.0,1.6153925416666668,32.80583333333333,85.77666666666666,-0.42578125000000017,63.7481012741594
